Step	t	Current temperature	KineticEnergy	Potential Energy	Internal Energy	Pressure	Density	RgH	RgP	RgAll	Bond length Average
461000	46.100000	0.098314	8.110869	-149.223159	-141.112291	0.000004	0.000040	1.723828	1.898095	1.871139	1.000000
467000	46.700000	0.100835	8.318847	-151.293471	-142.974623	0.000004	0.000040	1.737146	1.880917	1.866326	1.000000
468000	46.800000	0.101797	8.398261	-152.363506	-143.965245	0.000004	0.000040	1.737702	1.887983	1.870304	1.000000
473000	47.300000	0.098911	8.160129	-150.061866	-141.901736	0.000004	0.000040	1.717253	1.888156	1.863449	1.000000
475000	47.500000	0.098103	8.093503	-149.452541	-141.359038	0.000004	0.000040	1.718388	1.879620	1.855854	1.000000
476000	47.600000	0.102752	8.477015	-151.266013	-142.788998	0.000004	0.000040	1.724408	1.877292	1.857347	1.000000
479000	47.900000	0.101361	8.362270	-152.686332	-144.324062	0.000004	0.000040	1.741980	1.866561	1.856688	1.000000
480000	48.000000	0.098689	8.141809	-151.526391	-143.384583	0.000004	0.000040	1.749093	1.865253	1.857805	1.000000
481000	48.100000	0.097334	8.030043	-150.659574	-142.629531	0.000004	0.000040	1.750093	1.868972	1.860135	1.000000
483000	48.300000	0.099184	8.182689	-148.420868	-140.238178	0.000004	0.000040	1.762226	1.898021	1.881874	1.000000
486000	48.600000	0.098687	8.141711	-146.566839	-138.425128	0.000004	0.000040	1.763430	1.909146	1.892867	1.000000
489000	48.900000	0.104297	8.604467	-151.712013	-143.107546	0.000004	0.000040	1.744211	1.893846	1.878262	1.000000
493000	49.300000	0.099651	8.221170	-153.013394	-144.792224	0.000004	0.000040	1.753508	1.881108	1.875266	1.000000
494000	49.400000	0.099100	8.175753	-152.793327	-144.617574	0.000004	0.000040	1.751924	1.881132	1.875381	1.000000
495000	49.500000	0.094990	7.836635	-149.991265	-142.154631	0.000004	0.000040	1.745814	1.878189	1.870742	1.000000
496000	49.600000	0.101213	8.350092	-148.774658	-140.424566	0.000004	0.000040	1.739830	1.881432	1.868815	1.000000
497000	49.700000	0.100290	8.273903	-150.521841	-142.247939	0.000004	0.000040	1.739895	1.889622	1.872748	1.000000
499000	49.900000	0.099096	8.175444	-147.803495	-139.628051	0.000004	0.000040	1.747342	1.886954	1.871800	1.000000
500000	50.000000	0.099325	8.194307	-148.820206	-140.625899	0.000004	0.000040	1.751461	1.881285	1.870025	1.000000
502000	50.200000	0.099057	8.172190	-149.397601	-141.225411	0.000004	0.000040	1.740827	1.879889	1.865965	1.000000
503000	50.300000	0.102187	8.430418	-149.276767	-140.846348	0.000004	0.000040	1.737026	1.884218	1.866877	1.000000
504000	50.400000	0.100864	8.321304	-150.346843	-142.025539	0.000004	0.000040	1.742119	1.888263	1.870449	1.000000
506000	50.600000	0.096576	7.967525	-151.700723	-143.733198	0.000004	0.000040	1.746872	1.896624	1.875910	1.000000
507000	50.700000	0.100358	8.279564	-150.997366	-142.717803	0.000004	0.000040	1.750041	1.901082	1.879410	1.000000
509000	50.900000	0.100784	8.314659	-148.571658	-140.256999	0.000004	0.000040	1.761893	1.916958	1.894519	1.000000
511000	51.100000	0.101680	8.388580	-148.922109	-140.533528	0.000004	0.000040	1.759708	1.927230	1.900253	1.000000
513000	51.300000	0.102129	8.425668	-150.293368	-141.867701	0.000004	0.000040	1.754697	1.916673	1.892749	1.000000
514000	51.400000	0.100838	8.319158	-151.448207	-143.129049	0.000004	0.000040	1.752659	1.914478	1.891139	1.000000
515000	51.500000	0.100403	8.283217	-151.454709	-143.171492	0.000004	0.000040	1.747412	1.917005	1.890910	1.000000
517000	51.700000	0.098604	8.134842	-152.302866	-144.168024	0.000004	0.000040	1.747381	1.913319	1.889175	1.000000
520000	52.000000	0.101407	8.366058	-151.831811	-143.465753	0.000004	0.000040	1.754489	1.917006	1.893335	1.000000
521000	52.100000	0.098903	8.159482	-150.677609	-142.518126	0.000004	0.000040	1.753533	1.915951	1.892015	1.000000
522000	52.200000	0.098497	8.126035	-150.203421	-142.077386	0.000004	0.000040	1.754004	1.911819	1.889593	1.000000
524000	52.400000	0.101069	8.338164	-148.214503	-139.876340	0.000004	0.000040	1.760205	1.913931	1.893059	1.000000
527000	52.700000	0.098790	8.150140	-148.410750	-140.260609	0.000004	0.000040	1.768603	1.911684	1.895065	1.000000
528000	52.800000	0.100982	8.330976	-147.643091	-139.312115	0.000004	0.000040	1.770033	1.906390	1.892692	1.000000
529000	52.900000	0.103331	8.524768	-149.709212	-141.184443	0.000004	0.000040	1.771571	1.905954	1.893184	1.000000
534000	53.400000	0.099432	8.203117	-149.281457	-141.078340	0.000004	0.000040	1.752512	1.896834	1.883617	1.000000
535000	53.500000	0.100959	8.329109	-149.529628	-141.200519	0.000004	0.000040	1.758191	1.889245	1.881211	1.000000
543000	54.300000	0.103370	8.527993	-152.994119	-144.466126	0.000004	0.000040	1.749648	1.880271	1.869408	1.000000
545000	54.500000	0.096044	7.923648	-152.683799	-144.760151	0.000004	0.000040	1.760986	1.884258	1.876215	1.000000
546000	54.600000	0.100078	8.256457	-150.324265	-142.067808	0.000004	0.000040	1.762023	1.891957	1.881695	1.000000
